region;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
LTU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45306;42896;41143;40757;40003;38919;40399;41072;40990;41340;43799;44813;45624;43832;42032;42120;41037;40938;41511;40252;41776;41106;40142;39574;38281;43547
LUX;3716;3616;4037;3929;3857;4057;4050;4166;4138;4202;4168;4416;4121;4192;4291;4376;4507;4083;4187;3985;4113;4105;4133;4129;4072;4027;3970;4012;3840;3984;3773;3744;4021;3915;3800;3797;3895;3937;3901;3793;3754;3719;3744;4053;3578;3621;3766;3866;3595;3655;3760;3819;3876;3822;3841;3983;3967;4263;4318;4283;4609
MLT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2759;2865;3018;3079;2941;2904;3006;3146;3006;3132;3216;3111;3243;3221;3010;3267;3418;3236;3270;3442;3342;3571;3688;3688;4084
NLD;87486;87923;93558;95734;93437;98026;100516;99792;104989;107615;109619;110243;113576;110682;109250;113737;114454;110093;114415;112565;114279;115515;117264;117761;119812;122704;125307;122199;124163;128905;128824;129958;129887;137795;133471;135675;137561;135783;137482;140487;140527;140377;142355;141936;136553;136402;135372;133022;135136;134235;136058;135741;140813;141245;139223;147134;148997;150214;153363;151885;168678
POL;224167;227759;239199;231186;236985;232421;232945;247705;244103;264516;266799;283702;265250;279491;277085;296896;304057;312956;328080;325984;350203;328923;337874;352255;367562;383987;378781;380663;373018;383074;390343;405716;394729;392259;386398;386084;385496;380201;375354;381415;368028;363220;359486;365230;363522;368285;369686;377226;379399;384940;378478;375501;384788;387312;376467;394921;388009;402852;414200;409709;477355
PRT;95007;99590;96864;98011;96878;95187;100088;95816;94661;101088;93093;98688;90315;95435;96928;97936;102027;96111;96194;92732;94971;95892;92551;96367;97227;97339;95828;95423;98236;96220;103115;103882;100638;105950;99232;103475;106881;104778;106198;107871;105364;105092;106258;108795;102012;107464;101990;103512;104280;104434;105953;102848;107612;106554;104843;108539;110573;109758;113051;111793;123358
ROU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;271672;286158;279315;269166;265194;255820;259603;269666;266575;258890;262101;258094;251965;253202;257213;259723;251439;255539;247475;254965;262442;258404;262321;263911;259889;298258
SVK;31609;31403;34398;32978;32875;35910;36357;35458;38076;40623;42240;42856;41410;43759;44934;45248;45420;47181;47778;47837;50579;49632;50393;52433;51739;52464;53133;51980;52475;53902;54619;54618;53423;52707;51386;52686;51236;52124;53156;52402;52724;51980;51532;52230;51852;53475;53301;53856;53164;52913;53445;51903;52437;52089;51346;53826;52351;53914;54293;53234;59089
SVN;15145;14013;15866;15102;16729;15987;15248;16353;17446;18565;17353;17425;18157;17614;17206;18180;18157;17633;18357;18148;18820;18733;19646;20703;20214;19854;19499;19837;19126;18669;18555;19324;19333;20012;19359;18968;18620;18928;19039;18885;18588;18508;18701;19451;18523;18825;18180;18584;18308;18750;18609;18699;19257;19334;18886;19834;19689;20509;20485;20588;24016
ESP;261979;256211;271373;275499;267045;267407;275170;279469;282628;302352;285133;302869;280163;296524;295275;298192;299007;294324;296781;291213;289344;293386;286655;302569;299409;312532;310413;310073;319437;324796;333142;337691;331515;339661;338242;346227;351449;349521;360511;371102;359148;357580;366046;382455;369564;385056;369391;383249;384198;383209;380234;386017;401122;388600;393734;420408;408231;422037;425153;416102;492447
SWE;75093;73555;76791;76460;76661;78194;78440;79783;82613;83256;80045;82737;84086;85658;86209;88054;90650;88176;89704;90978;91716;92034;90671;90791;90483;94032;93295;93307;96743;92110;95161;95202;94710;97008;91844;93955;94133;93326;93271;94726;93461;93752;95009;92961;90532;91710;91177;91729;91449;90080;90487;89938;91938;90402;88976;90907;90982;91972;92185;88766;98124
GBR;604592;635507;632951;654300;610508;627567;644193;620385;652132;661509;652817;644042;679211;664722;666393;661803;680096;656042;668747;672641;659862;658524;662801;659101;644918;670656;660735;644342;649178;657733;641799;646181;625137;657852;625897;645493;638896;629554;627626;632062;608366;602268;606216;611184;583082;582963;572224;574687;579697;559617;561666;552232;569024;574945;568840;601272;595655;605748;614313;604707;689629
