region;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Greece;8300399;8363050;8433050;8463416;8495834;8525024;8575642;8651660;8716516;8765014;8780514;8805098;8856974;8920282;8937890;8986153;9106928;9269372;9347586;9512332;9584184;9700826;9757874;9821152;9872102;9919500;9949100;9985326;10015863;10058103;10120892;10272691;10367163;10430958;10489871;10535973;10588332;10629267;10693250;10747768;10775627;10835989;10888274;10915770;10940369;10969912;11004716;11036008;11060937;11094745;11119289;11123392;11086406;11003615;10926807;10858018;10783748;10768193;10741165;10724599;10718565;10678632;10603810
Hungary;9961044;10005980;10049935;10071715;10104179;10135490;10160380;10196926;10236282;10275347;10322099;10353721;10381352;10415626;10448484;10508956;10572094;10625259;10670802;10698841;10709463;10712781;10710914;10700155;10678770;10657420;10640006;10621121;10604360;10588614;10374823;10373153;10373647;10365035;10350010;10336700;10321229;10301247;10279724;10253416;10221644;10200298;10174853;10142362;10116742;10097549;10076581;10066158;10045401;10030975;10014324;9985722;9931925;9908798;9877365;9855571;9830485;9797561;9778371;9772756;9769526;9730772;9689010
Ireland;2835500;2821700;2827100;2845000;2860300;2872800;2881800;2895800;2909100;2922000;2943300;2971200;3012900;3060800;3111100;3163900;3215200;3260900;3303500;3354700;3392800;3432800;3473200;3498400;3522800;3542046;3534117;3545263;3534850;3515048;3506970;3520977;3547492;3569367;3583154;3597617;3620065;3654955;3693386;3732006;3777565;3832783;3899702;3964191;4028851;4111672;4208156;4340118;4457765;4521322;4549428;4570881;4589287;4609779;4637852;4677627;4726286;4784383;4830392;4904240;4964440;5006324;5060005
Italy;50025500;50373900;50698800;51060100;51443900;51906800;52317900;52720100;53080900;53390600;53685300;53958400;54188579;54574111;54928700;55293036;55588966;55847553;56063269;56247017;56388480;56479285;56524064;56563031;56565117;56588319;56597823;56594487;56609375;56649201;56694360;56744119;56772923;56821250;56842392;56844408;56844197;56876364;56904379;56909109;56923524;56960692;56987507;57130506;57495900;57874753;58064214;58223744;58652875;59000586;59190143;59364690;59394207;59685227;60782668;60795612;60665551;60589445;60483973;59816673;59641488;59236213;58983122
Latvia;2104128;2137830;2167531;2195640;2226198;2255048;2276789;2289645;2312795;2334443;2351903;2366424;2386353;2404995;2426642;2447730;2464529;2477449;2492697;2503145;2508761;2514640;2524202;2537958;2554063;2570030;2587716;2612068;2641097;2665770;2668140;2658161;2643000;2585675;2540904;2500580;2469531;2444912;2420789;2399248;2381715;2353384;2320956;2299390;2276520;2249724;2227874;2208840;2191810;2162834;2120504;2074605;2044813;2023825;2001468;1986096;1968957;1950116;1934379;1919968;1907675;1893223;1875757
Lithuania;2755600;2801500;2845600;2881100;2916800;2953600;2989300;3026800;3062000;3095700;3118941;3160437;3197645;3229598;3259277;3288510;3314794;3342533;3367538;3391490;3404194;3422210;3443684;3470673;3499711;3528698;3560388;3597439;3635295;3674802;3693708;3701968;3706299;3693929;3671296;3642991;3615212;3588013;3562261;3536401;3512074;3486998;3454637;3431497;3398929;3355220;3289835;3249983;3212605;3183856;3141976;3052588;3003641;2971905;2943472;2921262;2888558;2847904;2808901;2794184;2794090;2795680;2805998
Luxembourg;313050;314889;318800;322700;325500;330000;333000;334790;335200;336500;338507;339841;345000;348200;352700;357400;360500;360962;361753;362261;363450;364850;365600;365450;365794;366202;367210;369500;372000;374900;379300;384400;389600;394750;400200;405650;411600;416850;422050;427350;433600;439000;444050;448300;454960;461230;469086;476187;483799;493500;502066;511840;524853;537039;549680;562958;576249;590667;602005;613894;626108;634730;645397
Malta;327200;0;0;0;0;320600;0;0;0;0;302500;302800;0;0;0;301892;306551;304997;308942;311421;315262;318028;319936;331859;329189;331997;340907;343334;345636;349014;352430;361908;365781;369455;373161;376433;378404;381405;384176;386397;388759;391415;394641;397296;399867;402668;404999;405616;407832;410926;414027;414989;417546;422509;429424;439691;450415;460297;475701;493559;514564;516100;520971
Netherlands;11417254;11556008;11721416;11889962;12041970;12212269;12377194;12535307;12661095;12798346;12957621;13119430;13269563;13387623;13491020;13599092;13733578;13814495;13897874;13985526;14091014;14208586;14285829;14339551;14394589;14453833;14529430;14615125;14714948;14805240;14892574;15010445;15129150;15239182;15341553;15424122;15493889;15567107;15654192;15760225;15863950;15987075;16105285;16192572;16258032;16305526;16334210;16357992;16405399;16485787;16574989;16655799;16730348;16779575;16829289;16900726;16979120;17081507;17181084;17282163;17407585;17475415;17590672
Poland;29479900;29795000;30133000;30484000;30940000;31338900;31551000;31811000;32163310;32426000;32670600;32658000;32909000;33202300;33512100;33845698;34184700;34527900;34850200;35081000;35413434;35734865;36062309;36398652;36744964;37063303;37340467;37571771;37764318;37884655;38038403;38183160;38309226;38418108;38504707;38580597;38609399;38639341;38659979;38666983;38263303;38253955;38242197;38218531;38190608;38173835;38157055;38125479;38115641;38135876;38022869;38062718;38063792;38062535;38017856;38005614;37967209;37972964;37976687;37972812;37958138;37840001;37654247
Portugal;8826040;8889392;8969240;9018730;9041980;9028750;8968440;8893540;8855500;8817800;8697610;8663252;8624260;8636600;8629600;8879130;9307810;9403810;9507540;9608960;9713570;9819054;9883670;9939871;9975859;10016605;10030621;10034846;10025215;10014005;9995995;9970441;9950029;9954958;9974391;10008659;10043693;10084196;10133758;10186634;10249022;10330774;10394669;10444592;10473050;10494672;10511988;10532588;10553339;10563014;10573479;10572721;10542398;10487289;10427301;10374822;10341330;10309573;10291027;10276617;10295909;10298252;10352042
Romania;18319210;18494600;18615900;18737200;18858500;18979752;19083400;19347500;19720984;19878678;20139603;20361192;20561942;20753972;20917390;21141468;21445698;21657569;21854622;22048305;22132670;22281894;22424246;22527235;22593720;22687374;22778624;22895058;23003802;23111521;23211395;23192274;22810035;22778533;22748027;22712394;22656145;22581862;22526093;22488595;22455485;22430457;21833483;21627509;21521142;21382354;21257016;21130503;20635460;20440290;20294683;20199059;20095996;20020074;19947311;19870647;19760585;19643949;19533481;19414458;19328838;19201662;19038098
Slovakia;3969682;4166507;4216827;4259549;4304484;4350198;4391768;4431564;4467170;4500659;4536555;4539890;4575007;4618236;4664653;4714593;4763617;4815396;4865605;4914644;4963301;4996329;5035881;5074316;5109626;5144568;5178967;5208708;5236972;5264220;5287663;5310711;5295877;5314155;5336455;5356207;5367790;5378932;5387650;5393382;5398657;5378783;5378951;5374873;5371875;5372685;5372928;5373180;5376064;5382401;5390410;5392446;5404322;5410836;5415949;5421349;5426252;5435343;5443120;5450421;5457873;5459781;5434712
Slovenia;1580535;1588904;1599357;1607941;1626000;1638227;1660092;1679717;1699339;1709752;1717995;1731787;1744882;1759584;1773809;1778454;1808707;1831790;1852963;1872133;1893064;1909566;1903495;1917173;1927469;1936839;1946442;1985486;1994066;1996325;1996377;1999945;1998912;1994084;1989408;1989477;1990266;1986989;1984923;1978334;1987755;1990094;1994026;1995033;1996433;1997590;2003358;2010377;2010269;2032362;2046976;2050189;2055496;2058821;2061085;2062874;2064188;2065895;2066880;2080908;2095861;2108977;2107180
Spain;30327000;30583000;30895500;31151231;31442070;31776320;32132264;32434123;32931771;33294497;33587610;34040642;34408338;34800600;35177294;35569375;35946425;36329199;36694077;37035719;37346940;37635389;37881873;38090151;38252899;38407829;38531195;38638052;38731578;38802300;38853227;38881416;39051336;39264034;39458489;39639726;39808374;39971329;40143449;40303568;40470182;40665545;41035278;41827838;42547451;43296338;44009971;44784666;45668939;46239273;46486619;46667174;46818219;46727890;46512199;46449565;46440099;46528024;46658447;46937060;47332614;47398695;47432805
Sweden;7471345;7497967;7542028;7581148;7627507;7695200;7772506;7843088;7892774;7931772;8004371;8081230;8115438;8129161;8143463;8176447;8208427;8236144;8266936;8284261;8303094;8317967;8323038;8327488;8330577;8342633;8358139;8381519;8414089;8458888;8527039;8590630;8644120;8692013;8745109;8816381;8837496;8844499;8847625;8854322;8861426;8882792;8909128;8940788;8975670;9011392;9047752;9113257;9182927;9256347;9340682;9415570;9482855;9555893;9644864;9747355;9851017;9995153;10120242;10230185;10327589;10379295;10452326
UK;52200000;52600000;53000000;53500000;53800000;54200000;54496100;54800900;55086300;55337100;55546400;55780100;56012345;56159785;56229268;56230680;56220920;56203016;56183968;56209039;56284863;56343569;56324088;56303194;56362502;56481641;56618895;56743897;56860203;56996450;57156972;57338199;57511594;57649210;57788017;57943472;58094587;58239312;58394596;58579685;58785246;58999781;59239564;59501394;59793759;60182050;60620361;61073279;61571647;62042343;62510197;63022532;63495088;63905342;64351203;64853393;65379044;65844142;66273576;66647112;67025542;68134268;68562151
